"Datenmodell","Kategorie","Tabellenname","Beschreibung","Anmerkung","Datenumfang","Verfügbare BJ","BJ 2019","BJ 2020","BJ 2021","BJ 2022","BJ 2023","BJ 2024"
"DM4","KH-ambulant (AMBO)","AMBOLEISTART","Leistungsart ambulanter Krankenhausbehandlung","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","KH-ambulant (AMBO)","AMBOOPS","Operationen ambulanter Krankenhausbehandlung","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","KH-ambulant (AMBO)","AMBOEZV","Einzelvergütung ambulanter Krankenhausbehandlung (Kollektiv- und Selektivvertrag)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Heilmittel","HEIMIFALL","Fälle der Versorgung mit Heilmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Heilmittel","HEIMILEIST","Leistungen der Versorgung mit Heilmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Heilmittel","HEIMIDIAG","Diagnosen der Versorgung mit Heilmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hilfsmittel","HIMIFALL","Fälle der Versorgung mit Hilfsmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hilfsmittel","HIMILEIST","Leistungen der Versorgung mit Hilfsmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hilfsmittel","HIMIDIAG","Diagnosen der Versorgung mit Hilfsmitteln","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Krankentransport","KTFALL","Fälle der Versorgung mit Krankentransportleistungen","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Krankentransport","KTLEIST","Leistungen der Versorgung mit Krankentransportleistungen","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPFALL","Fälle der Versorgung mit häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPEINS","Einsätze und Hausbesuche der Versorgung mit häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPLEIST","Leistungen der Versorgung mit häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPEINZL","Einzelleistungen der Leistungspauschalen häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPVO","Verordnung der Versorgung mit häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","häusliche Krankenpflege (HKP)","HKPDIAG","Diagnosen der Verordnungen von häuslicher Krankenpflege (HKP)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
